timestamp_ms,voltage,state,edge
-20,1994.0,0,0
471,1986.0,0,0
507,1973.0,0,0
536,1971.0,0,0
566,1979.0,0,0
595,1974.0,0,0
625,1975.0,0,0
662,1971.0,0,0
699,1974.0,0,0
737,1971.0,0,0
775,1927.0,0,0
812,1776.0,0,0
849,1745.0,0,0
887,1760.0,0,0
924,1760.0,0,0
962,1762.0,0,0
999,1762.0,0,0
1037,1761.0,0,0
1074,1679.0,0,0
1112,1408.0,0,0
1149,1404.0,0,0
1186,2677.0,0,0
1224,4026.0,0,0
1261,4095.0,0,0
1298,2789.0,0,0
1336,1366.0,0,0
1373,3125.0,0,0
1411,4095.0,0,0
1448,2736.0,0,0
1485,1425.0,0,0
1523,3664.0,0,0
1560,4095.0,0,0
1597,1485.0,0,0
1635,2762.0,0,0
1672,4066.0,0,0
1710,2199.0,0,0
1747,1885.0,0,0
1784,3937.0,0,0
1822,3999.0,0,0
1859,1367.0,0,0
1896,3285.0,0,0
1934,4095.0,0,0
