date,code,open,high,low,close,volume,amount
2025-01-02,sz.000858,152.50,154.80,151.00,153.60,185600,28479360
2025-01-03,sz.000858,154.00,156.20,153.50,155.80,198300,30878940
2025-01-06,sz.000858,156.00,156.50,154.00,154.50,172400,26901000
2025-01-07,sz.000858,154.00,155.00,152.00,152.80,168900,25963920
2025-01-08,sz.000858,153.00,157.50,152.50,157.00,215600,33603200
2025-01-09,sz.000858,157.50,158.00,156.00,156.50,189200,29834600
2025-01-10,sz.000858,156.00,,155.00,155.50,175300,27271650
2025-01-13,sz.000858,155.00,156.00,154.00,155.00,162800,25310400
2025-01-14,sz.000858,155.50,159.00,155.00,158.50,225400,35617100
2025-01-15,sz.000858,159.00,161.00,158.50,160.50,238500,38238750
